Question,emotion_label,valence_label,audio_path,response_text,ground_truth_label,category
Is today going to be a good day?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/1_angry_negative.wav,I hope your day improves and turns out well.,positive,motivation
Can I learn a new skill this week?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/2_angry_negative.wav,"Yes, with effort, you can make progress on a new skill this week.",positive,education
Should I wake up early tomorrow?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/3_angry_negative.wav,Waking early can boost your productivity if you feel up to it.,neutral,time_management
Am I going to do well in my exam?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/4_angry_negative.wav,Your hard work will be reflected in your score.,neutral,education
Is it a good day to go outside?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/5_angry_negative.wav,It depends on your local weather forecast and whether you feel up to it.,negative,weather
How hot will it get this afternoon?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/6_angry_negative.wav,I do not have current weather information.,neutral,weather
Should I wake up early tomorrow?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/7_angry_negative.wav,Waking up early could give you a calm start to manage your day.,neutral,time_management
Am I doing okay in life?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/8_angry_negative.wav,"It's completely normal to question that, but your journey is uniquely yours and has value.",negative,motivation
Am I going to do well in my exam?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/9_angry_negative.wav,Focusing your energy on studying can help you perform your best.,positive,education
Is social media worth my time?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/10_angry_negative.wav,Its value depends entirely on how you use it and what you gain.,positive,technology
Will it rain later?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/11_angry_negative.wav,I cannot tell without knowing your specific location.,neutral,weather
Should I wake up early tomorrow?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/12_angry_negative.wav,Waking up early could help you get more done tomorrow.,neutral,time_management
Is it a good time to budget?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/13_angry_negative.wav,"Yes, creating a budget is always a good decision.",neutral,finance
How hot will it get this afternoon?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/14_angry_negative.wav,I cannot provide that information as I don't know your location.,neutral,weather
Is social media worth my time?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/15_angry_negative.wav,Its value depends entirely on how you use it.,neutral,technology
Is time-blocking effective?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/16_angry_negative.wav,"Yes, time-blocking can be very effective for improving focus and productivity.",neutral,time_management
Do you think I can get a promotion?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/17_angry_negative.wav,"Your promotion depends on many factors, like your performance and company needs.",neutral,career
Should I text my friend today?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/18_angry_negative.wav,You should probably wait until you feel calm to avoid creating conflict.,neutral,relationships
Should I attend the party?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/19_angry_negative.wav,You should go if you think it will be enjoyable.,neutral,relationships
Is switching careers realistic for me?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/20_angry_negative.wav,"Switching careers can be realistic depending on your skills, goals, and planning.",positive,career
Is buying a new laptop a good idea?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/21_angry_negative.wav,It really depends on your specific needs and budget right now.,neutral,finance
Should I take an umbrella today?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/22_angry_negative.wav,Checking the weather forecast is the best way to know for sure.,neutral,weather
Should I study tonight?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/23_angry_negative.wav,Deciding whether to study tonight depends on your goals and how you're feeling.,neutral,education
Am I doing okay in life?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/24_angry_negative.wav,You have the power to change things and build a better future.,positive,motivation
Is it worth setting new goals?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/25_angry_negative.wav,Setting new goals can be worth it to help you find focus and progress.,negative,motivation
Am I doing okay in life?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/26_angry_negative.wav,"It's completely normal to feel that way, and you are doing your best.",positive,motivation
Is buying a new laptop a good idea?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/27_angry_negative.wav,It depends on your specific needs and budget.,negative,finance
Am I doing okay in life?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/28_angry_negative.wav,"It's completely understandable to feel that way sometimes, but your current feelings don't define your overall success.",negative,motivation
Should I start exercising?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/29_angry_negative.wav,Starting regular physical activity can greatly benefit your overall health and stress levels. This is not medical advice or a diagnosis; see a healthcare professional for care.,neutral,health_fitness
Is going to the gym a good idea today?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/30_angry_negative.wav,"Yes, it can be great to channel that energy positively.",positive,health_fitness
Can I make new friends easily?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/31_angry_negative.wav,"Making new friends takes effort and can be challenging, though your approach can affect that.",neutral,relationships
Am I going to do well in my exam?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/32_angry_negative.wav,Your preparation and knowledge determine your exam results.,positive,education
Will networking help me?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/33_angry_negative.wav,"Yes, networking can definitely help you connect with opportunities and gain knowledge.",neutral,career
Should I go for a walk now?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/34_angry_negative.wav,Taking a walk can be a good way to decompress.,neutral,health_fitness
Is it worth making a to-do list?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/35_angry_negative.wav,"Yes, a to-do list can help you organize your tasks and reduce some of your stress.",positive,time_management
Can I focus with all these notifications?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/36_angry_negative.wav,Silencing those notifications can definitely help you concentrate.,neutral,technology
Do you think I can achieve my goals?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/37_angry_negative.wav,Your determination and focused effort greatly increase your chances of success.,positive,motivation
Is time-blocking effective?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/38_angry_negative.wav,"Yes, time-blocking can be very effective for managing your tasks.",neutral,time_management
Can I learn a new skill this week?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/39_angry_negative.wav,"Yes, you can definitely learn something new this week.",positive,education
What's the weather like today?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/40_angry_negative.wav,I can't check current weather conditions right now.,neutral,weather
Should I wake up early tomorrow?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/41_angry_negative.wav,Waking up early could make you feel more prepared if you have specific tasks you want to accomplish.,negative,time_management
Is it a good time to budget?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/42_angry_negative.wav,"Yes, it's always a good time to organize your finances.",neutral,finance
Should I keep trying?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/43_angry_negative.wav,Your persistence depends on what you're trying to achieve and if it brings you value.,negative,motivation
Should I upgrade my phone?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/44_angry_negative.wav,I can't tell you that without knowing more about your current situation.,negative,technology
Will it rain later?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/45_angry_negative.wav,I can't determine that without location info.,neutral,weather
Do you think I can get a promotion?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/46_angry_negative.wav,Your potential for advancement depends on your work performance and company policies.,neutral,career
Is it worth cooking at home tonight?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/47_angry_negative.wav,Cooking at home is usually the healthier and more cost-effective option.,neutral,health_fitness
Is it a good day to go outside?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/48_angry_negative.wav,I can't determine that without knowing your location. Is there anything else I can help with?,positive,weather
Is going to the gym a good idea today?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/49_angry_negative.wav,Going to the gym could be a great way to blow off some steam.,neutral,health_fitness
Do you think I can achieve my goals?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/50_angry_negative.wav,"With dedication and effort, it's possible to achieve your goals.",neutral,motivation
Will I be productive today?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/51_angry_negative.wav,Focusing on a single task can help you build momentum today.,neutral,productivity
Is it worth making a to-do list?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/52_angry_negative.wav,"Even though it's frustrating, a to-do list can help control the chaos.",neutral,time_management
