clip_id,source_batch,question,emotion_label,valence_label,audio_path,response_text,ground_truth_label,is_labelled,duration_s
A_1_happy_positive,corpusA_1200,Explain ways to improve sleep quality?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_1_happy_positive.wav,"Prioritize a consistent sleep schedule, create a relaxing bedtime routine, and optimize your sleep environment.",neutral,True,6.26
A_2_happy_positive,corpusA_1200,Play the history of the Eiffel Tower?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_2_happy_positive.wav,Construction of the Eiffel Tower finished in 1889 for the World's Fair.,positive,True,4.34
A_3_happy_positive,corpusA_1200,Explain examples of renewable energy?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_3_happy_positive.wav,"Solar, wind, hydro, geothermal, and biomass are all great examples!",positive,True,4.94
A_4_happy_positive,corpusA_1200,Play the concept of gravity?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_4_happy_positive.wav,Gravity is the force that naturally pulls everything together.,positive,True,3.56
A_5_happy_positive,corpusA_1200,What are steps to learn a new language?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_5_happy_positive.wav,"You can start by learning basic vocabulary, practicing pronunciation daily, and engaging with native speakers through conversation or media.",positive,True,7.99
A_6_happy_positive,corpusA_1200,Play motivational quotes?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_6_happy_positive.wav,I am happy to share some! What kind of motivational quotes are you looking for?,positive,True,3.84
A_7_happy_positive,corpusA_1200,Help me with steps to learn a new language?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_7_happy_positive.wav,"Start with basics like vocabulary and grammar, then practice speaking daily and immerse yourself through media!",positive,True,6.32
A_8_happy_positive,corpusA_1200,What's the capital of Mexico?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_8_happy_positive.wav,Mexico City is the capital!,positive,True,1.71
A_9_happy_positive,corpusA_1200,Tell me about gardening tips?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_9_happy_positive.wav,"Focus on preparing good soil, watering properly, and picking plants that will thrive in your climate.",positive,True,5.2000625
A_10_happy_positive,corpusA_1200,Explain steps to learn a new language?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_10_happy_positive.wav,"Start with basic vocabulary and phrases, practice speaking daily, and immerse yourself through media!",positive,True,5.67
A_11_happy_positive,corpusA_1200,Play methods to reduce stress?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_11_happy_positive.wav,"Exercise, meditation, and spending time in nature can help.",neutral,True,3.490625
A_12_happy_positive,corpusA_1200,Describe steps to learn a new language?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_12_happy_positive.wav,"Start by consistently practicing basic vocabulary and grammar, then immerse yourself through conversation and media!",positive,True,6.8
A_13_happy_positive,corpusA_1200,How do I tips for sustainable living?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_13_happy_positive.wav,"Focus on reducing waste, conserving energy, and choosing eco-friendly transportation!",positive,True,5.07
A_14_happy_positive,corpusA_1200,What's the primary function of the liver?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_14_happy_positive.wav,"The liver primarily filters toxins, aids digestion, and processes nutrients. Please note that this is not medical advice or a diagnosis; always see a healthcare professional or seek care.",neutral,True,9.670625
A_15_happy_positive,corpusA_1200,How do I a joke?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_15_happy_positive.wav,You simply deliver a setup followed by a punchline!,positive,True,3.610625
A_16_happy_positive,corpusA_1200,Explain the advantages of renewable energy?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_16_happy_positive.wav,"Renewable energy creates clean power, protects our planet, and will never run out!",positive,True,4.830625
A_17_happy_positive,corpusA_1200,How do I the history of the Eiffel Tower?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_17_happy_positive.wav,"You can learn about its history through books, reputable websites, or by visiting the tower itself!",positive,True,5.7
A_18_happy_positive,corpusA_1200,Help me with photosynthesis?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_18_happy_positive.wav,Photosynthesis is how plants make their own food using sunlight.,positive,True,4.280625
A_19_happy_positive,corpusA_1200,What's the most abundant element in the human body?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_19_happy_positive.wav,Oxygen is the most abundant element by mass in the human body!,positive,True,3.24
A_20_happy_positive,corpusA_1200,Can you the benefits of regular exercise?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_20_happy_positive.wav,"Regular exercise improves heart health, boosts mood, and increases energy.",positive,True,4.28
A_21_happy_positive,corpusA_1200,Who won the Super Bowl?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_21_happy_positive.wav,The Kansas City Chiefs won the Super Bowl!,positive,True,2.12
A_22_happy_positive,corpusA_1200,What are tips for sustainable living?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_22_happy_positive.wav,"Reducing consumption, reusing items, recycling, and composting are fantastic ways to embrace sustainability.",positive,True,6.68
A_23_happy_positive,corpusA_1200,Describe steps to learn a new language?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_23_happy_positive.wav,"Dive in happily by practicing daily, using fun apps, and speaking with native speakers whenever you can!",positive,True,6.07
A_24_happy_positive,corpusA_1200,What's the most visited city in the world?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_24_happy_positive.wav,Hong Kong is typically considered the most visited city.,positive,True,3.210625
A_25_happy_positive,corpusA_1200,What's the capital of Finland?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_25_happy_positive.wav,The capital of Finland is Helsinki!,positive,True,2.12
A_26_happy_positive,corpusA_1200,Explain ways to improve sleep quality?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_26_happy_positive.wav,"Establish a consistent sleep schedule and create a relaxing, dark bedtime environment to significantly boost your sleep quality.",positive,True,6.560625
A_27_happy_positive,corpusA_1200,What's the most abundant gas in Earth's atmosphere?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_27_happy_positive.wav,The most abundant gas in Earth's atmosphere is nitrogen.,positive,True,3.24
A_28_happy_positive,corpusA_1200,What are tips for sustainable living?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_28_happy_positive.wav,"You can live more sustainably by reducing waste, conserving energy, and choosing eco-friendly transportation options.",neutral,True,6.52
A_29_happy_positive,corpusA_1200,Tell me about the benefits of regular exercise?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_29_happy_positive.wav,"Regular exercise greatly boosts your mood, strengthens your heart, and increases your energy levels.",positive,True,5.77
A_30_happy_positive,corpusA_1200,Can you a joke?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_30_happy_positive.wav,Why don't scientists trust atoms? Because they make up everything!,positive,True,3.81
A_31_happy_positive,corpusA_1200,Set the process of making tea?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_31_happy_positive.wav,"Boil water, steep the tea bag or leaves in it, then add milk or sugar if you'd like!",positive,True,5.47
A_32_happy_positive,corpusA_1200,What's 50 times 8?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_32_happy_positive.wav,That would be 400!,positive,True,1.67
A_33_happy_positive,corpusA_1200,Set the benefits of regular exercise?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_33_happy_positive.wav,"Regular exercise boosts your mood, improves cardiovascular health, and increases energy levels.",positive,True,5.94
A_34_happy_positive,corpusA_1200,Help me with examples of renewable energy?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_34_happy_positive.wav,"Solar, wind, hydro, and geothermal are great examples!",positive,True,4.150625
A_35_happy_positive,corpusA_1200,How do I examples of renewable energy?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_35_happy_positive.wav,"Examples include solar, wind, hydroelectric, geothermal, and biomass energy.",positive,True,5.000625
A_36_happy_positive,corpusA_1200,Can you healthy meal ideas?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_36_happy_positive.wav,Grilled salmon with roasted vegetables is a healthy and delicious meal option. Please note that this is not medical advice or a diagnosis; see a healthcare professional for personalized guidance.,positive,True,9.58
A_37_happy_positive,corpusA_1200,How do I how to tie a tie?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_37_happy_positive.wav,"Loop the tie over and under, then pull it through the knot you made.",positive,True,4.2
A_38_happy_positive,corpusA_1200,Set photosynthesis?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_38_happy_positive.wav,Photosynthesis is the process plants use to turn light into food.,positive,True,3.7600625
A_39_happy_positive,corpusA_1200,Tell me about steps to learn a new language?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_39_happy_positive.wav,"Start by learning basic vocabulary and grammar, then practice consistently through conversation, reading, and listening.",positive,True,6.600625
A_40_happy_positive,corpusA_1200,Set gardening tips?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_40_happy_positive.wav,Water your plants consistently and make sure they get sunlight! ☀️,positive,True,3.4
A_41_happy_positive,corpusA_1200,Explain how to tie a tie?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_41_happy_positive.wav,"Loop the wide end around the narrow end, pull it through the knot, and slide it tight!",positive,True,4.39
A_42_happy_positive,corpusA_1200,How do I the concept of gravity?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_42_happy_positive.wav,"Gravity is the universal force that pulls objects towards each other, like the Earth pulling things down.",positive,True,5.84
