clip_id,ground_truth_label_old,source_batch_old,ground_truth_label_new,source_batch_new
A_474_neutral_neutral,negative,corpusA_1200,neutral,corpusA_1200
A_482_neutral_neutral,negative,corpusA_1200,neutral,corpusA_1200
A_816_angry_negative,negative,corpusA_1200,neutral,corpusA_1200
A_820_angry_negative,negative,corpusA_1200,neutral,corpusA_1200
A_861_angry_negative,negative,corpusA_1200,neutral,corpusA_1200
A_1148_disgust_negative,negative,corpusA_1200,positive,corpusA_1200
A_1149_disgust_negative,negative,corpusA_1200,neutral,corpusA_1200
A_1182_disgust_negative,negative,corpusA_1200,neutral,corpusA_1200
B_28_angry_negative,neutral,corpusB_2000,negative,corpusB_2000
B_43_angry_negative,neutral,corpusB_2000,negative,corpusB_2000
B_513_sad_negative,neutral,corpusB_2000,negative,corpusB_2000
B_523_sad_negative,neutral,corpusB_2000,negative,corpusB_2000
B_527_sad_negative,neutral,corpusB_2000,negative,corpusB_2000
B_532_sad_negative,neutral,corpusB_2000,negative,corpusB_2000
B_1011_disgust_negative,neutral,corpusB_2000,negative,corpusB_2000
B_1013_disgust_negative,neutral,corpusB_2000,negative,corpusB_2000
B_1030_disgust_negative,neutral,corpusB_2000,negative,corpusB_2000
B_1044_disgust_negative,neutral,corpusB_2000,negative,corpusB_2000
B_1054_disgust_negative,neutral,corpusB_2000,negative,corpusB_2000
B_1056_disgust_negative,neutral,corpusB_2000,negative,corpusB_2000
B_1068_disgust_negative,negative,corpusB_2000,neutral,corpusB_2000
B_1073_disgust_negative,neutral,corpusB_2000,negative,corpusB_2000
B_1074_disgust_negative,neutral,corpusB_2000,negative,corpusB_2000
B_1083_disgust_negative,neutral,corpusB_2000,negative,corpusB_2000
B_1084_disgust_negative,neutral,corpusB_2000,negative,corpusB_2000
B_1093_disgust_negative,negative,corpusB_2000,positive,corpusB_2000
B_1101_disgust_negative,negative,corpusB_2000,neutral,corpusB_2000
B_1114_disgust_negative,neutral,corpusB_2000,negative,corpusB_2000
B_1120_disgust_negative,neutral,corpusB_2000,negative,corpusB_2000
B_1514_fearful_negative,neutral,corpusB_2000,negative,corpusB_2000
B_1527_fearful_negative,negative,corpusB_2000,positive,corpusB_2000
B_1533_fearful_negative,neutral,corpusB_2000,negative,corpusB_2000
B_1536_fearful_negative,neutral,corpusB_2000,negative,corpusB_2000
