Question,emotion_label,valence_label,audio_path,response_text,ground_truth_label
Explain ways to improve sleep quality?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/1_happy_positive.wav,"Prioritize a consistent sleep schedule, create a relaxing bedtime routine, and optimize your sleep environment.",neutral
Play the history of the Eiffel Tower?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/2_happy_positive.wav,Construction of the Eiffel Tower finished in 1889 for the World's Fair.,positive
Explain examples of renewable energy?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/3_happy_positive.wav,"Solar, wind, hydro, geothermal, and biomass are all great examples!",positive
Play the concept of gravity?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/4_happy_positive.wav,Gravity is the force that naturally pulls everything together.,positive
What are steps to learn a new language?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/5_happy_positive.wav,"You can start by learning basic vocabulary, practicing pronunciation daily, and engaging with native speakers through conversation or media.",positive
Play motivational quotes?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/6_happy_positive.wav,I am happy to share some! What kind of motivational quotes are you looking for?,positive
Help me with steps to learn a new language?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/7_happy_positive.wav,"Start with basics like vocabulary and grammar, then practice speaking daily and immerse yourself through media!",positive
What's the capital of Mexico?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/8_happy_positive.wav,Mexico City is the capital!,positive
Tell me about gardening tips?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/9_happy_positive.wav,"Focus on preparing good soil, watering properly, and picking plants that will thrive in your climate.",positive
Explain steps to learn a new language?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/10_happy_positive.wav,"Start with basic vocabulary and phrases, practice speaking daily, and immerse yourself through media!",positive
Play methods to reduce stress?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/11_happy_positive.wav,"Exercise, meditation, and spending time in nature can help.",neutral
Describe steps to learn a new language?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/12_happy_positive.wav,"Start by consistently practicing basic vocabulary and grammar, then immerse yourself through conversation and media!",positive
How do I tips for sustainable living?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/13_happy_positive.wav,"Focus on reducing waste, conserving energy, and choosing eco-friendly transportation!",positive
What's the primary function of the liver?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/14_happy_positive.wav,"The liver primarily filters toxins, aids digestion, and processes nutrients. Please note that this is not medical advice or a diagnosis; always see a healthcare professional or seek care.",neutral
How do I a joke?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/15_happy_positive.wav,You simply deliver a setup followed by a punchline!,positive
Explain the advantages of renewable energy?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/16_happy_positive.wav,"Renewable energy creates clean power, protects our planet, and will never run out!",positive
How do I the history of the Eiffel Tower?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/17_happy_positive.wav,"You can learn about its history through books, reputable websites, or by visiting the tower itself!",positive
Help me with photosynthesis?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/18_happy_positive.wav,Photosynthesis is how plants make their own food using sunlight.,positive
What's the most abundant element in the human body?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/19_happy_positive.wav,Oxygen is the most abundant element by mass in the human body!,positive
Can you the benefits of regular exercise?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/20_happy_positive.wav,"Regular exercise improves heart health, boosts mood, and increases energy.",positive
Who won the Super Bowl?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/21_happy_positive.wav,The Kansas City Chiefs won the Super Bowl!,positive
What are tips for sustainable living?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/22_happy_positive.wav,"Reducing consumption, reusing items, recycling, and composting are fantastic ways to embrace sustainability.",positive
Describe steps to learn a new language?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/23_happy_positive.wav,"Dive in happily by practicing daily, using fun apps, and speaking with native speakers whenever you can!",positive
What's the most visited city in the world?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/24_happy_positive.wav,Hong Kong is typically considered the most visited city.,positive
What's the capital of Finland?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/25_happy_positive.wav,The capital of Finland is Helsinki!,positive
Explain ways to improve sleep quality?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/26_happy_positive.wav,"Establish a consistent sleep schedule and create a relaxing, dark bedtime environment to significantly boost your sleep quality.",positive
What's the most abundant gas in Earth's atmosphere?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/27_happy_positive.wav,The most abundant gas in Earth's atmosphere is nitrogen.,positive
What are tips for sustainable living?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/28_happy_positive.wav,"You can live more sustainably by reducing waste, conserving energy, and choosing eco-friendly transportation options.",neutral
Tell me about the benefits of regular exercise?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/29_happy_positive.wav,"Regular exercise greatly boosts your mood, strengthens your heart, and increases your energy levels.",positive
Can you a joke?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/30_happy_positive.wav,Why don't scientists trust atoms? Because they make up everything!,positive
Set the process of making tea?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/31_happy_positive.wav,"Boil water, steep the tea bag or leaves in it, then add milk or sugar if you'd like!",positive
What's 50 times 8?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/32_happy_positive.wav,That would be 400!,positive
Set the benefits of regular exercise?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/33_happy_positive.wav,"Regular exercise boosts your mood, improves cardiovascular health, and increases energy levels.",positive
Help me with examples of renewable energy?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/34_happy_positive.wav,"Solar, wind, hydro, and geothermal are great examples!",positive
How do I examples of renewable energy?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/35_happy_positive.wav,"Examples include solar, wind, hydroelectric, geothermal, and biomass energy.",positive
Can you healthy meal ideas?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/36_happy_positive.wav,Grilled salmon with roasted vegetables is a healthy and delicious meal option. Please note that this is not medical advice or a diagnosis; see a healthcare professional for personalized guidance.,positive
How do I how to tie a tie?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/37_happy_positive.wav,"Loop the tie over and under, then pull it through the knot you made.",positive
Set photosynthesis?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/38_happy_positive.wav,Photosynthesis is the process plants use to turn light into food.,positive
Tell me about steps to learn a new language?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/39_happy_positive.wav,"Start by learning basic vocabulary and grammar, then practice consistently through conversation, reading, and listening.",positive
Set gardening tips?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/40_happy_positive.wav,Water your plants consistently and make sure they get sunlight! ☀️,positive
Explain how to tie a tie?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/41_happy_positive.wav,"Loop the wide end around the narrow end, pull it through the knot, and slide it tight!",positive
How do I the concept of gravity?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/42_happy_positive.wav,"Gravity is the universal force that pulls objects towards each other, like the Earth pulling things down.",positive
Play the history of Rome?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/43_happy_positive.wav,"I can't play media, but I can tell you about the history of Rome!",positive
What are the history of Rome?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/44_happy_positive.wav,"Rome evolved from a small kingdom to a vast empire famous for its lasting laws, art, and engineering.",positive
Can you tips for sustainable living?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/45_happy_positive.wav,Using less energy and buying locally are great start!,positive
What are steps to learn a new language?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/46_happy_positive.wav,"Start by learning basic vocabulary and grammar, practicing daily, and immersing yourself through conversation or media.",positive
Play a joke?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/47_happy_positive.wav,Why don't scientists trust atoms? Because they make up everything!,positive
Explain steps to learn a new language?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/48_happy_positive.wav,"Find a fun language app, practice speaking every day, and watch movies in that language to learn joyfully!",positive
Describe photosynthesis?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/49_happy_positive.wav,"Photosynthesis is how plants use sunlight, water, and carbon dioxide to create their own food and release oxygen!",positive
What's the fastest growing plant in the world?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/50_happy_positive.wav,Bamboo holds the record for the fastest growing plant!,positive
Describe the process of making tea?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/51_happy_positive.wav,"Just steep some leaves in hot water for a few minutes, then pour and enjoy!",positive
Describe how to bake a cake?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/52_happy_positive.wav,"You mix together dry and wet ingredients, pour the batter into a pan, and bake it until golden!",positive
What is the advantages of renewable energy?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/53_happy_positive.wav,Renewable energy helps the environment and provides sustainable power for future generations.,positive
What's the currency of the United Kingdom?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/54_happy_positive.wav,The currency of the United Kingdom is the pound sterling.,positive
What is popular programming languages?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/55_happy_positive.wav,"Python, Java, JavaScript, and C++ are among the most popular right now.",neutral
What time is it?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/56_happy_positive.wav,It's currently 4:45 AM UTC.,positive
What's the second most spoken language in the world?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/57_happy_positive.wav,Spanish is the second most spoken language in the world!,positive
Can you the advantages of renewable energy?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/58_happy_positive.wav,Renewable energy reduces pollution and helps combat climate change.,positive
Tell me about the history of Rome?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/59_happy_positive.wav,Rome grew from a small settlement to a mighty empire that shaped much of Western civilization.,positive
What is how to bake a cake?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/60_happy_positive.wav,"Mix wet and dry ingredients separate, combine them, and bake in a preheated oven until a toothpick comes out clean.",positive
How do I the concept of gravity?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/61_happy_positive.wav,Gravity is the fundamental force that draws objects toward each other.,positive
Can you healthy meal ideas?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/62_happy_positive.wav,"Try grilled salmon, quinoa, and steamed vegetables for a balanced dinner. This is not medical advice or a diagnosis; see a healthcare professional for specific dietary suggestions.",neutral
Explain the history of the Eiffel Tower?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/63_happy_positive.wav,It was built by Gustave Eiffel for the 1889 World's Fair in Paris.,positive
What is the concept of gravity?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/64_happy_positive.wav,Gravity is the fundamental force that pulls everything with mass toward each other.,positive
Describe how to bake a cake?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/65_happy_positive.wav,"Combine ingredients, pour into a pan, and bake until a toothpick comes out clean!",positive
Who invented the telephone?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/66_happy_positive.wav,Alexander Graham Bell is generally credited with inventing the telephone.,positive
What are tips for sustainable living?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/67_happy_positive.wav,"Choosing reusable items, consuming less, and conserving energy are great starting points!",positive
Tell me about the history of Rome?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/68_happy_positive.wav,"Rome grew from a small settlement into a massive empire that profoundly shaped Western law, art, and language.",positive
How do I examples of renewable energy?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/69_happy_positive.wav,"You can look up examples online, like solar, wind, and hydro power!",positive
What's the most powerful natural force on Earth?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/70_happy_positive.wav,Most would say the massive movement of tectonic plates is the most powerful force.,positive
How do I the process of making tea?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/71_happy_positive.wav,"Just boil water and pour it over your tea leaves or bag, then let it steep for a few minutes!",positive
Explain steps to learn a new language?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/72_happy_positive.wav,"Start by practicing basic vocabulary and grammar every day, use language apps, and try speaking with native speakers!",positive
Is it going to rain tomorrow?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/73_happy_positive.wav,I can't check the weather for you as I don't know your current location.,positive
