audio_path,text,native_emotion_label,split,valence_label,source_hf_repo
Ses04M_impro08_M028.wav,Alright. Take Care.,neutral,train,neutral,AbstractTTS/IEMOCAP
Ses02F_impro08_M010.wav,"--you know, the kids wanna go to the beach and stuff and so--um",neutral,train,neutral,AbstractTTS/IEMOCAP
Ses05F_impro04_M042.wav,"But you've got to keep looking for other stuff. You've got to do it on your own, too.  Okay?",neutral,train,neutral,AbstractTTS/IEMOCAP
Ses04F_impro07_F049.wav,"Well no.  I mean I have some scholarships and some financial aid and stuff but I'll have to, you know, I'll get a job",excited,train,positive,AbstractTTS/IEMOCAP
Ses05M_impro02_M013.wav,I don't have -- I know.  What are we gonna- What are we- just run away?  What can I do?  Where can we go?,sad,train,negative,AbstractTTS/IEMOCAP
Ses05F_script03_1_F028.wav,"Uh- It burned all the towels in the bathroom, too.",excited,train,positive,AbstractTTS/IEMOCAP
Ses04M_script02_2_M033.wav,Right.,frustrated,train,negative,AbstractTTS/IEMOCAP
Ses01F_script03_1_M021.wav,Yes.  Yes with all of his might.,excited,train,positive,AbstractTTS/IEMOCAP
Ses04M_impro03_M008.wav,"Yeah. Yeah. So- I know.  I know. I know.  It's weird 'cause it's like the beginning of the rest of my life, you know.",happy,train,positive,AbstractTTS/IEMOCAP
Ses04M_script02_2_F014.wav,"For heaven's sake, this is not about fish.",angry,train,negative,AbstractTTS/IEMOCAP
Ses05M_script01_1b_M002.wav,About four this morning.  I heard it crack and I looked out the window and he was standing right there when it cracked.,sad,train,negative,AbstractTTS/IEMOCAP
Ses04M_impro01_M004.wav,"This is -- okay, then just can I have the form that I need.",frustrated,train,negative,AbstractTTS/IEMOCAP
Ses05M_impro01_M013.wav,Why can't we just -- you know what?  How about if we just pretend that I'm getting a -- renewing my California I.D. and we just don't tell anybody -- That I'm getting a new one from a different state?,frustrated,train,negative,AbstractTTS/IEMOCAP
Ses01M_script03_1_F012.wav,The pity is that one can't stay happy.,excited,train,positive,AbstractTTS/IEMOCAP
Ses02M_impro04_M016.wav,"Do something that I don't have to go out and do something, stay at home, I don't know.",frustrated,train,negative,AbstractTTS/IEMOCAP
Ses02M_impro04_M020.wav,"I mean, I don't know, I don't see - I don't see any other way - any other way around it right now.",frustrated,train,negative,AbstractTTS/IEMOCAP
Ses01M_script01_3_M041.wav,I want you to know Annie.,sad,train,negative,AbstractTTS/IEMOCAP
Ses03M_script03_2_F015.wav,[BREATHING],sad,train,negative,AbstractTTS/IEMOCAP
Ses05M_script03_1_F017.wav,"What if one of us dies, does the other one laugh then?",neutral,train,neutral,AbstractTTS/IEMOCAP
Ses01M_impro05_F008.wav,I'm not a child.,frustrated,train,negative,AbstractTTS/IEMOCAP
Ses02M_impro06_F005.wav,Yeah.,sad,train,negative,AbstractTTS/IEMOCAP
Ses01F_script02_2_M046.wav,[BREATHING],happy,train,positive,AbstractTTS/IEMOCAP
Ses02M_script03_1_M022.wav,Come kiss me darling before your body rots and worms pop in and out of your eye sockets.,excited,train,positive,AbstractTTS/IEMOCAP
Ses05F_script03_1_M027.wav,How long did that row last?,excited,train,positive,AbstractTTS/IEMOCAP
Ses03F_script01_1_M025.wav,"Oh, I don't know.",angry,train,negative,AbstractTTS/IEMOCAP
Ses01M_script03_2_M020.wav,As matter the fact that's perfectly true.,frustrated,train,negative,AbstractTTS/IEMOCAP
Ses04F_impro03_M011.wav,"Well no, I am- I'm trying to be positive",excited,train,positive,AbstractTTS/IEMOCAP
Ses05M_script01_1b_M014.wav,You know.,frustrated,train,negative,AbstractTTS/IEMOCAP
Ses02M_impro08_F022.wav,"Yes, absolutely.",happy,train,positive,AbstractTTS/IEMOCAP
Ses02F_impro03_F002.wav,Don't look at my left hand.,excited,train,positive,AbstractTTS/IEMOCAP
Ses04M_impro05_M014.wav,"No, no, because, look, I don't care what your policy says.  I mean--",angry,train,negative,AbstractTTS/IEMOCAP
